outlet_id,region,outlet_size,population_density,number_of_skus_sold,average_household_income
outlet_code_2128,western,911,1622,27,96082
outlet_code_2129,western,1656,3113,53,170648
outlet_code_2130,western,1672,3144,54,172192
outlet_code_2131,outstation,268,117,13,66885
outlet_code_2132,outstation,1089,247,14,69444
outlet_code_2133,outstation,1560,303,19,93004
outlet_code_2134,outstation,1584,306,19,94220
outlet_code_2135,upcountry,2366,487,15,35496
outlet_code_2136,upcountry,276,376,16,41331
outlet_code_2137,upcountry,1229,403,21,45858
outlet_code_2138,upcountry,1407,421,24,51207
outlet_code_2139,upcountry,1651,445,29,58544
outlet_code_2140,western,2177,2154,24,83862
outlet_code_2141,western,224,1164,24,87135
outlet_code_2142,western,374,3413,46,162085
outlet_code_2143,western,357,3161,44,153706
outlet_code_2144,western,213,997,22,81565
outlet_code_2145,western,934,1667,28,98360
outlet_code_2146,western,1161,2122,36,121123
outlet_code_2147,western,971,1742,29,102100
outlet_code_2148,western,1684,3168,54,173378
outlet_code_2149,western,1699,3199,55,174936
outlet_code_2150,western,1335,2471,42,138541
outlet_code_2151,western,727,1255,21,77742
outlet_code_2152,outstation,2618,331,13,65461
outlet_code_2153,outstation,259,115,13,64775
outlet_code_2154,outstation,371,143,19,92764
outlet_code_2155,outstation,299,125,15,74842
outlet_code_2156,outstation,357,139,18,89367
outlet_code_2157,outstation,1113,250,14,70630
outlet_code_2158,outstation,756,207,11,52809
outlet_code_2159,outstation,1621,311,19,96064
outlet_code_2160,outstation,1227,263,15,76357
outlet_code_2161,upcountry,399,499,25,59868
outlet_code_2162,upcountry,1630,443,29,57905
outlet_code_2163,western,377,3451,47,163380
outlet_code_2164,western,339,2887,41,144581
outlet_code_2165,western,206,890,21,78006
outlet_code_2166,western,1028,1857,31,107838
outlet_code_2167,western,1624,3048,52,167400
outlet_code_2168,western,1400,2600,44,144997
outlet_code_2169,western,1555,2910,50,160516
outlet_code_2170,western,951,1702,29,100111
outlet_code_2171,western,1345,2489,43,139463
outlet_code_2172,western,1139,2078,35,118892
outlet_code_2173,outstation,2603,330,13,65064
outlet_code_2174,outstation,387,147,19,96819
outlet_code_2175,outstation,1014,238,13,65713
outlet_code_2176,outstation,1439,289,17,86950
outlet_code_2177,outstation,769,208,11,53435
outlet_code_2178,outstation,1294,271,16,79704
outlet_code_2179,outstation,1347,278,16,82341
outlet_code_2180,outstation,1022,239,13,66092
outlet_code_2181,upcountry,1503,430,26,54081
outlet_code_2182,upcountry,1209,401,20,45275
outlet_code_2183,upcountry,878,368,14,35339
outlet_code_2184,western,225,1180,24,87659
outlet_code_2185,western,330,2750,39,139984
outlet_code_2186,western,332,2783,40,141097
outlet_code_2187,western,1507,2815,48,155725
outlet_code_2188,outstation,3680,384,18,91996
outlet_code_2189,outstation,3832,392,19,95812
outlet_code_2190,outstation,3957,398,20,98921
outlet_code_2191,outstation,385,146,19,96212
outlet_code_2192,outstation,277,119,14,69150
outlet_code_2193,outstation,996,235,13,64786
outlet_code_2194,outstation,1278,269,16,78887
outlet_code_2195,outstation,745,205,10,52238
outlet_code_2196,upcountry,3721,622,32,55809
outlet_code_2197,upcountry,253,353,14,37931
outlet_code_2198,upcountry,1331,413,23,48942
outlet_code_2199,upcountry,937,374,15,37107
outlet_code_2200,upcountry,977,378,16,38305
outlet_code_2201,western,2813,3426,36,115659
outlet_code_2202,western,2126,2053,23,81320
outlet_code_2203,western,282,2033,32,116113
outlet_code_2204,western,1053,1907,32,110350
outlet_code_2205,western,914,1628,27,96398
outlet_code_2206,western,991,1782,30,104095
outlet_code_2207,western,792,1384,23,84206
outlet_code_2208,western,1694,3188,55,174403
outlet_code_2209,western,1636,3072,53,168602
outlet_code_2210,outstation,3171,359,16,79280
outlet_code_2211,outstation,2201,310,11,55037
outlet_code_2212,outstation,221,105,11,55244
outlet_code_2213,outstation,216,104,11,53951
outlet_code_2214,outstation,1003,236,13,65142
outlet_code_2215,outstation,823,215,11,56148
outlet_code_2216,outstation,1458,291,18,87884
outlet_code_2217,outstation,1198,260,15,74880
outlet_code_2218,outstation,1362,279,17,83077
outlet_code_2219,outstation,1558,303,19,92905
outlet_code_2220,outstation,1261,267,16,78038
outlet_code_2221,upcountry,723,352,10,30677
outlet_code_2222,upcountry,1527,433,27,54820
outlet_code_2223,western,2440,2680,29,97001
outlet_code_2224,western,267,1808,30,108614
outlet_code_2225,western,301,2310,35,125334
outlet_code_2226,western,361,3208,44,155261
outlet_code_2227,western,1005,1809,31,105459
outlet_code_2228,western,1552,2905,50,160231
outlet_code_2229,western,1306,2412,41,135592
outlet_code_2230,western,1341,2483,42,139134
outlet_code_2231,outstation,3905,395,20,97625
outlet_code_2232,outstation,3368,368,17,84208
outlet_code_2233,outstation,378,144,19,94431
outlet_code_2234,outstation,205,101,10,51312
outlet_code_2235,outstation,376,144,19,93895
outlet_code_2236,outstation,1649,314,19,97461
outlet_code_2237,outstation,768,208,11,53390
outlet_code_2238,outstation,970,232,13,63525
outlet_code_2239,outstation,935,228,12,61738
outlet_code_2240,upcountry,1459,426,25,52759
outlet_code_2241,upcountry,1601,440,28,57026
outlet_code_2242,upcountry,1417,422,24,51513
outlet_code_2243,upcountry,744,354,11,31311
outlet_code_2244,upcountry,1059,386,17,40769
outlet_code_2245,western,2498,2796,30,99908
outlet_code_2246,western,346,2988,42,147930
outlet_code_2247,western,336,2846,40,143188
outlet_code_2248,western,248,1525,27,99167
outlet_code_2249,western,1241,2281,39,129075
outlet_code_2250,western,753,1306,22,80305
outlet_code_2251,western,1136,2071,35,118553
outlet_code_2252,western,1175,2150,37,122514
outlet_code_2253,western,1074,1947,33,112354
outlet_code_2254,western,1024,1848,31,107387
outlet_code_2255,western,740,1280,21,79019
outlet_code_2256,western,1496,2792,48,154605
outlet_code_2257,outstation,2462,323,12,61544
outlet_code_2258,outstation,3604,380,18,90097
outlet_code_2259,outstation,349,137,17,87266
outlet_code_2260,outstation,205,101,10,51339
outlet_code_2261,outstation,1060,243,14,68015
outlet_code_2262,outstation,714,202,10,50688
outlet_code_2263,outstation,1204,261,15,75210
outlet_code_2264,outstation,1619,310,19,95946
outlet_code_2265,outstation,1007,237,13,65341
outlet_code_2266,outstation,1305,273,16,80226
outlet_code_2267,outstation,1030,240,13,66493
outlet_code_2268,outstation,1588,307,19,94391
outlet_code_2269,western,230,1253,25,90086
outlet_code_2270,western,388,3620,48,169003
outlet_code_2271,western,237,1352,26,93385
outlet_code_2272,western,331,2769,40,140632
outlet_code_2273,western,902,1603,27,95166
outlet_code_2274,western,965,1730,29,101521
outlet_code_2275,western,1272,2344,40,132215
outlet_code_2276,outstation,3321,366,17,83020
outlet_code_2277,outstation,3835,392,19,95887
outlet_code_2278,outstation,372,143,19,93034
outlet_code_2279,outstation,1182,258,15,74106
outlet_code_2280,outstation,1210,261,15,75517
outlet_code_2281,outstation,960,231,13,63017
outlet_code_2282,upcountry,271,371,15,40589
outlet_code_2283,upcountry,1414,421,24,51421
outlet_code_2284,western,2658,3115,33,107886
outlet_code_2285,western,3793,5387,56,164669
outlet_code_2286,western,269,1835,30,109515
outlet_code_2287,western,326,2690,39,138010
outlet_code_2288,western,260,1700,29,105000
outlet_code_2289,western,221,1122,23,85742
outlet_code_2290,western,332,2775,40,140817
outlet_code_2291,western,1385,2570,44,143523
outlet_code_2292,western,792,1384,23,84194
outlet_code_2293,western,1535,2869,49,158463
outlet_code_2294,western,851,1502,25,90093
outlet_code_2295,western,1546,2892,50,159607
outlet_code_2296,outstation,373,143,19,93197
outlet_code_2297,outstation,379,145,19,94839
outlet_code_2298,outstation,338,134,17,84400
outlet_code_2299,outstation,1210,261,15,75508
outlet_code_2300,outstation,1432,288,17,86619
outlet_code_2301,outstation,1472,293,18,88617
outlet_code_2302,outstation,1468,292,18,88399
outlet_code_2303,outstation,1024,239,13,66206
outlet_code_2304,outstation,1310,273,16,80481
outlet_code_2305,outstation,867,220,12,58366
outlet_code_2306,upcountry,998,380,16,38944
outlet_code_2307,upcountry,1423,422,24,51678
outlet_code_2308,upcountry,1693,449,30,59776
outlet_code_2309,western,3058,3916,41,127893
outlet_code_2310,western,344,2967,42,147235
outlet_code_2311,western,1287,2374,41,133695
outlet_code_2312,western,823,1447,24,87344
outlet_code_2313,western,985,1770,30,103504
outlet_code_2314,western,1163,2126,36,121303
outlet_code_2315,western,1136,2072,35,118604
outlet_code_2316,western,1311,2422,41,136102
outlet_code_2317,western,1575,2951,51,162530
outlet_code_2318,outstation,3878,394,19,96948
outlet_code_2319,outstation,3935,397,20,98373
outlet_code_2320,outstation,2249,312,11,56236
outlet_code_2321,outstation,2693,335,13,67313
outlet_code_2322,outstation,3262,363,16,81551
outlet_code_2323,outstation,273,118,14,68246
outlet_code_2324,outstation,366,141,18,91449
outlet_code_2325,outstation,792,211,11,54616
outlet_code_2326,outstation,1113,250,14,70633
outlet_code_2327,outstation,1414,286,17,85700
outlet_code_2328,outstation,1506,297,18,90296
outlet_code_2329,upcountry,1553,435,27,55596
outlet_code_2330,upcountry,1365,417,23,49956
outlet_code_2331,upcountry,1311,411,22,48343
outlet_code_2332,upcountry,812,361,12,33350
outlet_code_2333,western,3724,5248,54,161191
outlet_code_2334,western,383,3545,47,166501
outlet_code_2335,western,336,2847,40,143222
outlet_code_2336,western,1371,2542,43,142099
outlet_code_2337,western,1244,2289,39,129429
outlet_code_2338,western,1417,2634,45,146721
outlet_code_2339,western,1490,2780,48,154024
outlet_code_2340,western,902,1604,27,95199
outlet_code_2341,western,725,1250,21,77496
outlet_code_2342,western,1608,3016,52,165799
outlet_code_2343,western,1396,2591,44,144570
outlet_code_2344,outstation,239,110,12,59750
outlet_code_2345,outstation,341,135,17,85145
outlet_code_2346,outstation,360,140,18,90099
outlet_code_2347,outstation,337,134,17,84246
outlet_code_2348,outstation,246,111,12,61396
outlet_code_2349,outstation,892,223,12,59613
outlet_code_2350,outstation,1429,287,17,86446
outlet_code_2351,upcountry,3429,593,28,51439
outlet_code_2352,upcountry,1042,384,17,40273
outlet_code_2353,upcountry,901,370,14,36041
outlet_code_2354,upcountry,1396,420,24,50880
outlet_code_2355,western,2146,2091,23,82282
outlet_code_2356,western,323,2641,38,136367
outlet_code_2357,western,327,2710,39,138675
outlet_code_2358,western,363,3249,44,156644
outlet_code_2359,western,273,1889,31,111297
outlet_code_2360,western,825,1449,24,87461
outlet_code_2361,western,1556,2912,50,160576
outlet_code_2362,western,1103,2006,34,115297
outlet_code_2363,western,1256,2312,39,130582
outlet_code_2364,western,1218,2236,38,126792
outlet_code_2365,western,982,1765,30,103228
outlet_code_2366,outstation,2882,344,14,72042
outlet_code_2367,outstation,311,128,16,77700
outlet_code_2368,outstation,242,111,12,60513
outlet_code_2369,outstation,359,140,18,89708
outlet_code_2370,outstation,1261,267,16,78046
outlet_code_2371,outstation,833,216,11,56660
outlet_code_2372,outstation,1338,277,16,81893
outlet_code_2373,outstation,1364,280,17,83194
outlet_code_2374,outstation,1201,260,15,75048
outlet_code_2375,outstation,953,230,13,62641
outlet_code_2376,upcountry,243,343,13,36501
outlet_code_2377,upcountry,1565,437,27,55960
outlet_code_2378,upcountry,810,361,12,33298
outlet_code_2379,western,2118,2035,22,80885
outlet_code_2380,western,2468,2737,29,98416
outlet_code_2381,western,247,1512,27,98743
outlet_code_2382,western,1036,1873,32,108626
outlet_code_2383,western,1700,3199,55,174972
outlet_code_2384,western,1550,2900,50,160009
outlet_code_2385,outstation,2050,302,10,51245
outlet_code_2386,outstation,2593,330,13,64830
outlet_code_2387,outstation,256,114,13,63995
outlet_code_2388,outstation,1073,245,14,68650
outlet_code_2389,outstation,1010,237,13,65491
outlet_code_2390,outstation,1337,276,16,81847
outlet_code_2391,outstation,740,205,10,52012
outlet_code_2392,outstation,1368,280,17,83407
outlet_code_2393,outstation,1346,277,16,82289
outlet_code_2394,outstation,1672,317,20,98582
outlet_code_2395,outstation,1592,307,19,94577
outlet_code_2396,upcountry,3117,562,24,46754
outlet_code_2397,upcountry,2494,499,16,37408
outlet_code_2398,upcountry,1060,386,17,40795
outlet_code_2399,upcountry,1376,418,24,50291
outlet_code_2400,western,2943,3687,39,122168
outlet_code_2401,western,276,1942,31,113059
outlet_code_2402,western,397,3755,50,173514
outlet_code_2403,western,222,1123,23,85779
outlet_code_2404,western,333,2801,40,141693
outlet_code_2405,western,1159,2118,36,120898
outlet_code_2406,western,1393,2586,44,144300
outlet_code_2407,western,1390,2579,44,143960
outlet_code_2408,western,1515,2830,49,156521
outlet_code_2409,western,1269,2339,40,131934
outlet_code_2410,western,915,1630,28,96510
outlet_code_2411,western,1070,1940,33,111977
outlet_code_2412,outstation,3526,376,18,88162
outlet_code_2413,outstation,2516,326,13,62912
outlet_code_2414,outstation,363,141,18,90647
outlet_code_2415,outstation,397,149,20,99210
outlet_code_2416,outstation,818,214,11,55877
outlet_code_2417,outstation,802,212,11,55098
outlet_code_2418,upcountry,1623,442,28,57682
outlet_code_2419,upcountry,1192,399,20,44771
outlet_code_2420,upcountry,1317,412,22,48524
outlet_code_2421,western,3596,4993,52,154815
outlet_code_2422,western,347,3008,42,148606
outlet_code_2423,western,1441,2682,46,149124
outlet_code_2424,western,1452,2704,46,150206
outlet_code_2425,western,1109,2019,34,115934
outlet_code_2426,western,1026,1851,31,107557
outlet_code_2427,western,1126,2052,35,117579
outlet_code_2428,western,1458,2716,47,150810
outlet_code_2429,outstation,346,137,17,86555
outlet_code_2430,outstation,203,101,10,50827
outlet_code_2431,outstation,342,136,17,85534
outlet_code_2432,outstation,306,127,15,76614
outlet_code_2433,outstation,1253,266,16,77660
outlet_code_2434,outstation,722,203,10,51119
outlet_code_2435,outstation,891,223,12,59530
outlet_code_2436,outstation,1028,239,13,66378
outlet_code_2437,outstation,921,227,12,61048
outlet_code_2438,outstation,1681,318,20,99068
outlet_code_2439,outstation,1356,279,17,82788
outlet_code_2440,upcountry,3322,582,27,49831
outlet_code_2441,upcountry,1433,423,25,52001
outlet_code_2442,western,2927,3655,39,121372
outlet_code_2443,western,1230,2259,39,127965
outlet_code_2444,western,716,1231,21,76571
outlet_code_2445,western,1494,2788,48,154384
outlet_code_2446,outstation,215,104,11,53825
outlet_code_2447,outstation,775,209,11,53753
outlet_code_2448,outstation,772,209,11,53595
outlet_code_2449,outstation,714,202,10,50681
outlet_code_2450,outstation,997,236,13,64845
outlet_code_2451,outstation,1332,276,16,81609
outlet_code_2452,outstation,1293,271,16,79652
outlet_code_2453,upcountry,2453,495,16,36794
outlet_code_2454,upcountry,701,350,10,30022
outlet_code_2455,upcountry,1599,440,28,56980
outlet_code_2456,western,2150,2100,23,82490
outlet_code_2457,western,263,1751,30,106707
outlet_code_2458,western,222,1127,23,85900
outlet_code_2459,western,280,2001,32,115049
outlet_code_2460,western,1350,2500,43,140008
outlet_code_2461,western,913,1625,27,96260
outlet_code_2462,western,1323,2446,42,137286
outlet_code_2463,western,1496,2792,48,154615
outlet_code_2464,western,847,1493,25,89665
outlet_code_2465,western,1204,2208,38,125422
outlet_code_2466,western,1603,3007,52,165348
outlet_code_2467,outstation,2971,349,15,74280
outlet_code_2468,outstation,2774,339,14,69352
outlet_code_2469,outstation,378,144,19,94379
outlet_code_2470,outstation,208,102,10,51895
outlet_code_2471,outstation,764,208,11,53213
outlet_code_2472,outstation,896,224,12,59824
outlet_code_2473,outstation,1109,249,14,70474
outlet_code_2474,outstation,1290,271,16,79490
outlet_code_2475,outstation,1211,261,15,75562
outlet_code_2476,upcountry,295,395,17,44198
outlet_code_2477,upcountry,224,324,12,33634
outlet_code_2478,upcountry,200,300,10,30056
outlet_code_2479,upcountry,1641,444,29,58244
outlet_code_2480,upcountry,1486,429,26,53594
outlet_code_2481,western,2022,1844,20,76108
outlet_code_2482,western,228,1216,24,88876
outlet_code_2483,western,292,2177,34,120892
outlet_code_2484,western,865,1529,26,91456
outlet_code_2485,western,1608,3016,52,165824
outlet_code_2486,western,1343,2487,43,139340
outlet_code_2487,outstation,2510,325,13,62747
outlet_code_2488,outstation,400,150,20,99985
outlet_code_2489,outstation,307,127,15,76793
outlet_code_2490,outstation,343,136,17,85815
outlet_code_2491,outstation,348,137,17,86876
outlet_code_2492,outstation,243,111,12,60718
outlet_code_2493,outstation,1003,236,13,65169
outlet_code_2494,outstation,1631,312,19,96528
outlet_code_2495,outstation,862,219,12,58116
outlet_code_2496,upcountry,752,355,11,31566
outlet_code_2497,western,2766,3333,35,113320
outlet_code_2498,western,1537,2874,49,158717
outlet_code_2499,western,1627,3053,52,167651
outlet_code_2500,western,945,1690,29,99523
outlet_code_2501,western,1509,2817,48,155856
outlet_code_2502,western,938,1676,28,98794
outlet_code_2503,western,1499,2799,48,154946
outlet_code_2504,outstation,2589,329,13,64728
outlet_code_2505,outstation,3042,352,15,76048
outlet_code_2506,outstation,2380,319,12,59504
outlet_code_2507,outstation,1444,289,17,87197
outlet_code_2508,outstation,787,210,11,54326
outlet_code_2509,outstation,1252,266,16,77608
outlet_code_2510,outstation,1512,297,18,90594
outlet_code_2511,outstation,1353,278,17,82630
outlet_code_2512,outstation,1526,299,18,91298
outlet_code_2513,outstation,856,219,12,57778
outlet_code_2514,outstation,1472,293,18,88623
outlet_code_2515,upcountry,1629,443,29,57884
outlet_code_2516,upcountry,831,363,13,33920
outlet_code_2517,upcountry,1688,449,30,59654
outlet_code_2518,upcountry,1309,411,22,48259
outlet_code_2519,western,2254,2307,25,87683
outlet_code_2520,western,2103,2006,22,80152
outlet_code_2521,western,2333,2467,27,91668
outlet_code_2522,western,3571,4941,51,153529
outlet_code_2523,western,232,1281,25,91017
outlet_code_2524,western,849,1498,25,89899
outlet_code_2525,western,716,1232,21,76577
outlet_code_2526,outstation,2925,346,15,73119
outlet_code_2527,outstation,2972,349,15,74297
outlet_code_2528,outstation,3895,395,19,97371
outlet_code_2529,outstation,314,128,16,78481
outlet_code_2530,outstation,254,114,13,63579
outlet_code_2531,outstation,1485,294,18,89245
outlet_code_2532,outstation,1610,309,19,95509
outlet_code_2533,outstation,1484,294,18,89189
outlet_code_2534,outstation,896,224,12,59812
outlet_code_2535,outstation,1657,315,20,97866
outlet_code_2536,outstation,1454,291,18,87710
outlet_code_2537,outstation,991,235,13,64553
outlet_code_2538,outstation,1074,245,14,68684
outlet_code_2539,outstation,1569,304,19,93456
outlet_code_2540,upcountry,3700,620,31,55499
outlet_code_2541,upcountry,2392,489,15,35877
outlet_code_2542,upcountry,3827,633,33,57404
outlet_code_2543,upcountry,1692,449,30,59771
outlet_code_2544,upcountry,1161,396,19,43833
outlet_code_2545,western,281,2016,32,115528
outlet_code_2546,western,330,2750,40,140005
outlet_code_2547,western,246,1488,27,97944
outlet_code_2548,western,365,3282,45,157741
outlet_code_2549,western,1337,2474,42,138697
outlet_code_2550,western,1327,2455,42,137733
outlet_code_2551,western,1669,3137,54,171868
outlet_code_2552,western,1638,3077,53,168835
outlet_code_2553,western,1567,2934,50,161724
outlet_code_2554,western,1102,2004,34,115220
outlet_code_2555,western,1442,2683,46,149152
outlet_code_2556,western,1257,2315,40,130744
outlet_code_2557,outstation,201,100,10,50158
outlet_code_2558,outstation,233,108,12,58293
outlet_code_2559,outstation,395,149,20,98641
outlet_code_2560,outstation,1168,256,15,73381
outlet_code_2561,outstation,990,235,13,64506
outlet_code_2562,outstation,1462,291,18,88119
outlet_code_2563,outstation,1523,299,18,91172
outlet_code_2564,upcountry,2297,480,14,34462
outlet_code_2565,upcountry,206,306,10,30908
outlet_code_2566,upcountry,1651,445,29,58530
outlet_code_2567,upcountry,1178,398,20,44342
outlet_code_2568,western,374,3405,46,161830
outlet_code_2569,western,297,2258,35,123591
outlet_code_2570,western,247,1501,27,98377
outlet_code_2571,western,339,2879,41,144295
outlet_code_2572,western,1384,2569,44,143428
outlet_code_2573,western,792,1384,23,84186
outlet_code_2574,outstation,2928,346,15,73188
outlet_code_2575,outstation,269,117,13,67224
outlet_code_2576,outstation,337,134,17,84275
outlet_code_2577,outstation,215,104,11,53625
outlet_code_2578,outstation,700,200,10,50021
outlet_code_2579,outstation,1505,297,18,90265
outlet_code_2580,outstation,874,221,12,58686
outlet_code_2581,outstation,1019,238,13,65964
outlet_code_2582,outstation,1417,286,17,85836
outlet_code_2583,upcountry,206,306,10,30891
outlet_code_2584,upcountry,849,365,13,34476
outlet_code_2585,upcountry,1580,438,28,56393
outlet_code_2586,western,3761,5321,55,163030
outlet_code_2587,western,3129,4058,43,131450
outlet_code_2588,western,364,3256,45,156882
outlet_code_2589,western,282,2026,32,115862
outlet_code_2590,western,911,1623,27,96133
outlet_code_2591,western,1114,2028,34,116402
outlet_code_2592,western,1197,2193,37,124654
outlet_code_2593,western,968,1736,29,101794
outlet_code_2594,western,1311,2422,41,136098
outlet_code_2595,western,752,1304,22,80210
outlet_code_2596,western,1574,2947,51,162352
outlet_code_2597,western,777,1354,23,82689
outlet_code_2598,western,1540,2880,49,159023
outlet_code_2599,outstation,3775,389,19,94375
outlet_code_2600,outstation,3948,397,20,98705
outlet_code_2601,outstation,3200,360,16,80000
outlet_code_2602,outstation,2583,329,13,64576
outlet_code_2603,outstation,2798,340,14,69952
outlet_code_2604,outstation,321,130,16,80343
outlet_code_2605,outstation,341,135,17,85284
outlet_code_2606,outstation,791,211,11,54527
outlet_code_2607,outstation,1434,288,17,86700
outlet_code_2608,outstation,1489,295,18,89436
outlet_code_2609,outstation,1037,240,13,66863
outlet_code_2610,upcountry,234,334,13,35159
outlet_code_2611,upcountry,784,358,12,32518
outlet_code_2612,upcountry,1499,430,26,53963
outlet_code_2613,western,3751,5302,55,162551
outlet_code_2614,western,1115,2029,35,116459
outlet_code_2615,western,1457,2714,46,150692
outlet_code_2616,western,996,1792,30,104623
outlet_code_2617,western,956,1713,29,100645
outlet_code_2618,western,941,1683,28,99147
outlet_code_2619,outstation,2840,342,14,71007
outlet_code_2620,outstation,242,111,12,60611
outlet_code_2621,outstation,298,125,15,74620
outlet_code_2622,outstation,1381,282,17,84030
outlet_code_2623,outstation,1369,280,17,83454
outlet_code_2624,outstation,1144,253,14,72204
outlet_code_2625,outstation,1142,253,14,72111
outlet_code_2626,outstation,1412,285,17,85600
outlet_code_2627,outstation,1153,254,15,72647
outlet_code_2628,upcountry,245,345,13,36685
outlet_code_2629,upcountry,220,320,12,33056
outlet_code_2630,upcountry,1396,420,24,50883
outlet_code_2631,western,2982,3764,40,124096
outlet_code_2632,western,2261,2322,25,88042
outlet_code_2633,western,386,3585,48,167830
outlet_code_2634,western,277,1949,31,113294
outlet_code_2635,western,859,1518,26,90922
outlet_code_2636,western,993,1785,30,104263
outlet_code_2637,western,1662,3124,54,171219
outlet_code_2638,western,1273,2346,40,132313
outlet_code_2639,western,718,1235,21,76750
outlet_code_2640,western,787,1374,23,83717
outlet_code_2641,outstation,2368,318,12,59188
outlet_code_2642,outstation,1068,244,14,68405
outlet_code_2643,outstation,855,219,12,57770
outlet_code_2644,outstation,1055,243,14,67754
outlet_code_2645,outstation,1139,253,14,71941
outlet_code_2646,outstation,1242,265,15,77124
outlet_code_2647,outstation,1238,265,15,76886
outlet_code_2648,outstation,1011,237,13,65557
outlet_code_2649,outstation,1161,255,15,73074
outlet_code_2650,outstation,1436,288,17,86790
outlet_code_2651,upcountry,339,439,20,50834
outlet_code_2652,upcountry,902,370,14,36071
outlet_code_2653,western,2067,1934,21,78346
outlet_code_2654,western,3691,5181,54,159529
outlet_code_2655,western,362,3230,44,156012
outlet_code_2656,western,241,1411,26,95379
outlet_code_2657,western,291,2172,34,120742
outlet_code_2658,western,1309,2418,41,135897
outlet_code_2659,western,1434,2668,46,148424
outlet_code_2660,western,762,1324,22,81179
outlet_code_2661,western,1378,2556,44,142788
outlet_code_2662,western,1575,2950,51,162498
outlet_code_2663,western,1183,2167,37,123338
outlet_code_2664,western,1588,2977,51,163838
outlet_code_2665,outstation,2248,312,11,56191
outlet_code_2666,outstation,3728,386,19,93198
outlet_code_2667,outstation,1322,275,16,81114
outlet_code_2668,outstation,957,231,13,62837
outlet_code_2669,outstation,1060,243,14,67997
outlet_code_2670,outstation,1450,290,17,87495
outlet_code_2671,outstation,1589,307,19,94438
outlet_code_2672,outstation,824,215,11,56198
outlet_code_2673,outstation,1003,236,13,65168
outlet_code_2674,upcountry,789,359,12,32668
outlet_code_2675,upcountry,1517,432,26,54520
outlet_code_2676,upcountry,1563,436,27,55892
outlet_code_2677,upcountry,1438,424,25,52154
outlet_code_2678,upcountry,1064,386,17,40905
outlet_code_2679,western,3487,4774,50,149343
outlet_code_2680,western,358,3168,44,153930
outlet_code_2681,western,289,2129,33,119316
outlet_code_2682,western,1341,2482,42,139099
outlet_code_2683,western,1655,3111,53,170542
outlet_code_2684,western,1257,2314,39,130701
outlet_code_2685,western,1374,2548,44,142415
outlet_code_2686,western,1660,3120,54,170984
outlet_code_2687,western,1140,2079,35,118966
outlet_code_2688,western,1194,2188,37,124378
outlet_code_2689,outstation,3169,358,16,79221
outlet_code_2690,outstation,392,148,20,97987
outlet_code_2691,outstation,220,105,11,54938
outlet_code_2692,outstation,240,110,12,60056
outlet_code_2693,outstation,250,112,12,62427
outlet_code_2694,outstation,205,101,10,51250
outlet_code_2695,outstation,222,106,11,55598
outlet_code_2696,outstation,260,115,13,64987
outlet_code_2697,outstation,949,230,12,62472
outlet_code_2698,outstation,1432,288,17,86585
outlet_code_2699,outstation,1148,254,14,72383
outlet_code_2700,outstation,1171,256,15,73535
outlet_code_2701,upcountry,909,371,14,36280
outlet_code_2702,upcountry,940,374,15,37199
outlet_code_2703,western,3462,4724,49,148102
outlet_code_2704,western,3211,4221,44,135534
outlet_code_2705,western,2544,2887,31,102183
outlet_code_2706,western,4000,5800,60,174995
outlet_code_2707,western,325,2679,39,137639
outlet_code_2708,western,325,2677,39,137573
outlet_code_2709,western,1623,3045,52,167268
outlet_code_2710,western,1064,1927,33,111363
outlet_code_2711,western,1181,2162,37,123125
outlet_code_2712,western,835,1470,25,88511
outlet_code_2713,western,939,1678,28,98921
outlet_code_2714,western,1012,1824,31,106176
outlet_code_2715,outstation,3716,386,19,92892
outlet_code_2716,outstation,2877,344,14,71913
outlet_code_2717,outstation,826,215,11,56323
outlet_code_2718,outstation,971,233,13,63553
outlet_code_2719,outstation,784,210,11,54185
outlet_code_2720,outstation,1416,286,17,85808
outlet_code_2721,outstation,1565,304,19,93246
outlet_code_2722,outstation,1339,277,16,81941
outlet_code_2723,outstation,1030,240,13,66504
outlet_code_2724,outstation,1676,317,20,98795
outlet_code_2725,outstation,1072,245,14,68610
outlet_code_2726,outstation,856,219,12,57819
outlet_code_2727,upcountry,303,403,18,45447
outlet_code_2728,upcountry,1487,429,26,53612
outlet_code_2729,upcountry,1309,411,22,48277
outlet_code_2730,upcountry,1226,403,21,45779
outlet_code_2731,western,2907,3613,38,120326
outlet_code_2732,western,3715,5230,54,160745
outlet_code_2733,western,2219,2239,24,85963
outlet_code_2734,western,375,3421,46,162367
outlet_code_2735,western,233,1298,25,91597
outlet_code_2736,western,1318,2435,42,136764
outlet_code_2737,western,1235,2271,39,128538
outlet_code_2738,western,868,1537,26,91829
outlet_code_2739,western,1035,1870,32,108495
outlet_code_2740,outstation,274,118,14,68422
outlet_code_2741,outstation,294,124,15,73547
outlet_code_2742,outstation,1692,319,20,99604
outlet_code_2743,outstation,1586,306,19,94308
outlet_code_2744,outstation,1592,307,19,94584
outlet_code_2745,outstation,1601,308,19,95032
outlet_code_2746,outstation,1667,316,20,98370
outlet_code_2747,outstation,1196,260,15,74802
outlet_code_2748,outstation,776,209,11,53790
outlet_code_2749,upcountry,362,462,22,54300
outlet_code_2750,upcountry,1084,388,18,41513
outlet_code_2751,upcountry,924,372,14,36709
outlet_code_2752,upcountry,1403,420,24,51097
